Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2012-13,065,HARTLAND (065),5486000.00,41695.00,436000.00,3270.00,5050000.00,4940000.00,37050.00,110000,1375,,,,,0.00,0.00,0.00,0.00,0.00,0.00,25,21
FY 2012-13,066,HARWINTON (066),16531452.00,131936.00,1163000.00,8723.00,13673452.00,13673452.00,102551.00,0,0,,,,,105000.00,788.00,1590000.00,19875.00,0.00,0.00,66,72
FY 2012-13,067,HEBRON (067),35528248.00,270651.00,2224440.00,16683.00,32261808.00,32260909.00,241957.00,899,11,,,,,205000.00,1538.00,837000.00,10463.00,0.00,0.00,132,94
FY 2012-13,068,KENT (068),22907850.00,204255.00,3841000.00,28808.00,15327600.00,12577600.00,94332.00,2750000,34375,,,,,0.00,0.00,3739250.00,46741.00,0.00,0.00,58,63
FY 2012-13,069,KILLINGLY (069),38920675.00,331000.00,2247969.00,16860.00,28713706.00,28713706.00,215353.00,0,0,,,,,140000.00,1050.00,7819000.00,97738.00,0.00,0.00,236,245
FY 2012-13,070,KILLINGWORTH (070),28158337.00,214513.00,270000.00,2025.00,27558337.00,27118337.00,203388.00,440000,5500,,,,,105000.00,788.00,225000.00,2813.00,0.00,0.00,99,80
FY 2012-13,071,LEBANON (071),17965365.00,134740.00,1594000.00,11955.00,16112365.00,16112365.00,120843.00,0,0,,,,,259000.00,1943.00,0.00,0.00,0.00,0.00,94,97
FY 2012-13,072,LEDYARD (072),44381212.00,364964.00,3269410.00,24521.00,34690802.00,34690802.00,260181.00,0,0,,,,,0.00,0.00,6421000.00,80262.00,0.00,0.00,200,186
FY 2012-13,073,LISBON (073),6161450.00,46991.00,486150.00,3646.00,5519300.00,5519300.00,41395.00,0,0,,,,,0.00,0.00,156000.00,1950.00,0.00,0.00,42,57
FY 2012-13,074,LITCHFIELD (074),37335480.00,305082.00,3463636.00,25977.00,32777031.00,28822031.00,216165.00,3955000,49438,,,,,0.00,0.00,1058265.00,13228.00,36549.00,274.00,107,140
FY 2012-13,075,LYME (075),23984500.00,200759.00,1144500.00,8584.00,22320000.00,18145000.00,136088.00,4175000,52188,,,,,520000.00,3900.00,0.00,0.00,0.00,0.00,52,46
FY 2012-13,076,MADISON (076),153058090.00,1296907.00,3582500.00,26869.00,146824590.00,119681318.00,897610.00,27143272,339291,,,,,0.00,0.00,2651000.00,33138.00,0.00,0.00,271,270
FY 2012-13,077,MANCHESTER (077),126298070.00,1055024.00,4892500.00,36694.00,90016628.00,90016628.00,675125.00,0,0,,,,,9554899.00,71662.00,21557740.00,269472.00,276304.00,2072.00,553,479
FY 2012-13,078,MANSFIELD (078),48721787.00,461888.00,4229350.00,31720.00,25155618.00,25155618.00,188667.00,0,0,,,,,41818.00,314.00,19295001.00,241188.00,0.00,0.00,168,143
FY 2012-13,079,MARLBOROUGH (079),20582541.00,159869.00,990300.00,7427.00,18426241.00,18426241.00,138197.00,0,0,,,,,66000.00,495.00,1100000.00,13750.00,0.00,0.00,75,59
FY 2012-13,080,MERIDEN (080),87563311.00,720854.00,1869700.00,14023.00,72306300.00,72306300.00,542297.00,0,0,,,,,307500.00,2306.00,12825820.00,160323.00,253991.00,1905.00,552,540
FY 2012-13,081,MIDDLEBURY (081),36641295.00,291590.00,1881550.00,14112.00,23229745.00,23153746.00,173653.00,75999,950,,,,,8250000.00,61875.00,3280000.00,41000.00,0.00,0.00,95,122
FY 2012-13,082,MIDDLEFIELD (082),9706730.00,74500.00,567000.00,4253.00,8799730.00,8799730.00,65998.00,0,0,,,,,0.00,0.00,340000.00,4250.00,0.00,0.00,46,46
FY 2012-13,083,MIDDLETOWN (083),148004808.00,1248552.00,2731400.00,20486.00,84706708.00,84706708.00,635300.00,0,0,,,,,32863500.00,246476.00,27703200.00,346290.00,0.00,0.00,482,418
FY 2012-13,084,MILFORD (084),282809209.00,2262032.00,4454000.00,33405.00,172168960.00,169529161.00,1271469.00,2639799,32997,,,,,80379631.00,602847.00,25552782.00,319410.00,253836.00,1904.00,694,477
FY 2012-13,085,MONROE (085),81933582.00,640055.00,3880050.00,29100.00,72783877.00,72705877.00,545294.00,78000,975,,,,,237000.00,1778.00,5032655.00,62908.00,0.00,0.00,233,172
FY 2012-13,086,MONTVILLE (086),35547157.00,283221.00,3251196.00,24384.00,28880062.00,28880062.00,216600.00,0,0,,,,,92500.00,694.00,3323399.00,41542.00,0.00,0.00,202,190
FY 2012-13,087,MORRIS (087),8546800.00,64214.00,462000.00,3465.00,8084800.00,8062300.00,60467.00,22500,281,,,,,0.00,0.00,0.00,0.00,0.00,0.00,37,37
FY 2012-13,088,NAUGATUCK (088),41261292.00,333112.00,865976.00,6495.00,35664856.00,35664856.00,267486.00,0,0,,,,,0.00,0.00,4730450.00,59131.00,10.00,0.00,266,302
FY 2012-13,089,NEW BRITAIN (089),78463071.00,616478.00,4645734.00,34843.00,57356205.00,57355970.00,430170.00,235,3,,,,,10420255.00,78152.00,5600759.00,70009.00,440118.00,3301.00,554,616
FY 2012-13,090,NEW CANAAN (090),604814521.00,5966782.00,15798040.00,118485.00,558744606.00,292899918.00,2196749.00,265844688,3323059,,,,,9981875.00,74864.00,20290000.00,253625.00,0.00,0.00,426,252
FY 2012-13,091,NEW FAIRFIELD (091),52154940.00,408835.00,4023659.00,30177.00,46913281.00,44596781.00,334476.00,2316500,28956,,,,,0.00,0.00,1218000.00,15225.00,0.00,0.00,157,148
FY 2012-13,092,NEW HARTFORD (092),25356676.00,197175.00,650700.00,4880.00,24705976.00,23305976.00,174795.00,1400000,17500,,,,,0.00,0.00,0.00,0.00,0.00,0.00,89,95
FY 2012-13,093,NEW HAVEN (093),262254930.00,2221984.00,1076585.00,8074.00,143848639.00,139773639.00,1048302.00,4075000,50938,,,,,70246060.00,526845.00,46939492.00,586744.00,144154.00,1081.00,779,940
FY 2012-13,094,NEWINGTON (094),94116183.00,839122.00,2861250.00,21459.00,64361061.00,64361061.00,482708.00,0,0,,,,,62000.00,465.00,26650110.00,333126.00,181762.00,1363.00,370,328
FY 2012-13,095,NEW LONDON (095),25487250.00,201458.00,726000.00,5445.00,22824467.00,21944467.00,164584.00,880000,11000,,,,,756000.00,5670.00,1180783.00,14760.00,0.00,0.00,193,217
FY 2012-13,096,NEW MILFORD (096),99294610.00,835510.00,3996140.00,29971.00,79777015.00,76807115.00,576053.00,2969900,37124,,,,,109000.00,818.00,15190176.00,189877.00,222279.00,1667.00,340,351
FY 2012-13,097,NEWTOWN (097),125117706.00,977123.00,6481475.00,48611.00,111308510.00,108909510.00,816821.00,2399000,29988,,,,,1749600.00,13122.00,5349000.00,66863.00,229121.00,1718.00,314,244
FY 2012-13,098,NORFOLK (098),3764840.00,28236.00,1459840.00,10949.00,2305000.00,2305000.00,17288.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,15,28
FY 2012-13,099,NORTH BRANFORD (099),38748952.00,308742.00,1717800.00,12884.00,33352952.00,33352952.00,250147.00,0,0,,,,,53213.00,399.00,3624987.00,45312.00,0.00,0.00,152,113
FY 2012-13,100,NORTH CANAAN (100),7480415.00,64753.00,665015.00,4988.00,5085500.00,5085500.00,38141.00,0,0,,,,,0.00,0.00,1729900.00,21624.00,0.00,0.00,47,40
FY 2012-13,101,NORTH HAVEN (101),109732463.00,926024.00,2217750.00,16633.00,72568598.00,72148598.00,541114.00,420000,5250,,,,,14760000.00,110700.00,20186115.00,252326.00,0.00,0.00,300,245
FY 2012-13,102,NORTH STONINGTON (102),10603400.00,81756.00,1160400.00,8703.00,8836950.00,8836950.00,66277.00,0,0,,,,,160000.00,1200.00,446050.00,5576.00,0.00,0.00,58,61
FY 2012-13,103,NORWALK (103),496669946.00,4301775.00,20531600.00,153987.00,403802182.00,354331615.00,2657487.00,49470567,618382,,,,,6174894.00,46312.00,65879566.00,823495.00,281704.00,2113.00,963,682
FY 2012-13,104,NORWICH (104),52149982.00,464390.00,2767701.00,20758.00,33949686.00,33874686.00,254060.00,75000,938,,,,,854618.00,6410.00,14577978.00,182225.00,0.00,0.00,337,408
FY 2012-13,105,OLD LYME (105),57766253.00,466726.00,2054650.00,15410.00,51746022.00,48194952.00,361462.00,3551070,44388,,,,,0.00,0.00,3144700.00,39309.00,820881.00,6157.00,165,154
FY 2012-13,106,OLD SAYBROOK (106),80397453.00,672781.00,834000.00,6255.00,75251453.00,65593353.00,491950.00,9658100,120726,,,,,10000.00,75.00,4302000.00,53775.00,0.00,0.00,194,170
FY 2012-13,107,ORANGE (107),59115088.00,469833.00,513500.00,3851.00,52757588.00,52507588.00,393807.00,250000,3125,,,,,800000.00,6000.00,5044000.00,63050.00,0.00,0.00,156,147
FY 2012-13,108,OXFORD (108),48091848.00,371889.00,2805301.00,21040.00,43046547.00,43046547.00,322849.00,0,0,,,,,0.00,0.00,2240000.00,28000.00,0.00,0.00,151,101
FY 2012-13,109,PLAINFIELD (109),22257848.00,172846.00,2190151.00,16426.00,18718197.00,18718197.00,140386.00,0,0,,,,,167000.00,1253.00,1182500.00,14781.00,0.00,0.00,168,230
FY 2012-13,110,PLAINVILLE (110),42056501.00,354504.00,1353500.00,10151.00,32708800.00,32708800.00,245316.00,0,0,,,,,0.00,0.00,7816000.00,97700.00,178201.00,1337.00,190,219
FY 2012-13,111,PLYMOUTH (111),21807767.00,169396.00,1006100.00,7546.00,19634167.00,19634167.00,147256.00,0,0,,,,,0.00,0.00,1167500.00,14594.00,0.00,0.00,133,178
FY 2012-13,112,POMFRET (112),10596274.00,79472.00,1469787.00,11023.00,8826487.00,8826487.00,66199.00,0,0,,,,,300000.00,2250.00,0.00,0.00,0.00,0.00,47,68
FY 2012-13,113,PORTLAND (113),31627297.00,249619.00,1771500.00,13286.00,26932997.00,26932997.00,201997.00,0,0,,,,,440000.00,3300.00,2482800.00,31035.00,0.00,0.00,129,99
FY 2012-13,114,PRESTON (114),12950160.00,101126.00,1264800.00,9486.00,10885360.00,10885360.00,81640.00,0,0,,,,,0.00,0.00,800000.00,10000.00,0.00,0.00,65,81
FY 2012-13,115,PROSPECT (115),26959980.00,208122.00,812500.00,6094.00,24962976.00,24962976.00,187222.00,0,0,,,,,0.00,0.00,1184504.00,14806.00,0.00,0.00,111,86
FY 2012-13,116,PUTNAM (116),13118779.00,99891.00,684000.00,5130.00,11648554.00,11648554.00,87364.00,0,0,,,,,0.00,0.00,300000.00,3750.00,486225.00,3647.00,90,139
FY 2012-13,117,REDDING (117),72674936.00,639773.00,445000.00,3338.00,71357436.00,53285186.00,399639.00,18072250,225903,,,,,2500.00,19.00,870000.00,10875.00,0.00,0.00,111,86
FY 2012-13,118,RIDGEFIELD (118),257428907.00,2156790.00,2970000.00,22275.00,249115307.00,208279302.00,1562095.00,40836005,510450,,,,,965000.00,7238.00,4378600.00,54733.00,0.00,0.00,391,291
FY 2012-13,119,ROCKY HILL (119),160929155.00,1730284.00,6292950.00,47197.00,50456715.00,49481715.00,371113.00,975000,12188,,,,,491500.00,3686.00,103687990.00,1296100.00,0.00,0.00,239,174
FY 2012-13,120,ROXBURY (120),39042799.00,351329.00,6605000.00,49538.00,31958799.00,20736099.00,155521.00,11222700,140284,,,,,0.00,0.00,479000.00,5988.00,0.00,0.00,46,56
FY 2012-13,121,SALEM (121),17018836.00,127641.00,3832555.00,28744.00,13081281.00,13081281.00,98110.00,0,0,,,,,105000.00,788.00,0.00,0.00,0.00,0.00,80,63
FY 2012-13,122,SALISBURY (122),39191961.00,337590.00,2508650.00,18815.00,36094311.00,27689311.00,207670.00,8405000,105063,,,,,264000.00,1980.00,325000.00,4063.00,0.00,0.00,79,92
FY 2012-13,123,SCOTLAND (123),2604750.00,19536.00,195000.00,1463.00,2253500.00,2253500.00,16901.00,0,0,,,,,156250.00,1172.00,0.00,0.00,0.00,0.00,15,21
FY 2012-13,124,SEYMOUR (124),38667584.00,291657.00,1696929.00,12727.00,36540655.00,36540655.00,274055.00,0,0,,,,,100000.00,750.00,330000.00,4125.00,0.00,0.00,176,176
FY 2012-13,125,SHARON (125),20013510.00,168081.00,2035250.00,15264.00,17728260.00,14382260.00,107867.00,3346000,41825,,,,,0.00,0.00,250000.00,3125.00,0.00,0.00,49,76
FY 2012-13,126,SHELTON (126),145754394.00,1104617.00,8222833.00,61671.00,135056099.00,134896099.00,1011721.00,160000,2000,,,,,94000.00,705.00,2131728.00,26647.00,249735.00,1873.00,470,379
FY 2012-13,127,SHERMAN (127),26463850.00,216766.00,885050.00,6638.00,25428800.00,21921300.00,164410.00,3507500,43844,,,,,0.00,0.00,150000.00,1875.00,0.00,0.00,69,73
FY 2012-13,128,SIMSBURY (128),110212187.00,872501.00,3069004.00,23018.00,98038605.00,97566105.00,731746.00,472500,5906,,,,,141250.00,1059.00,8709328.00,108867.00,254000.00,1905.00,343,229
FY 2012-13,129,SOMERS (129),31729245.00,239529.00,921800.00,6914.00,29236445.00,29136445.00,218523.00,100000,1250,,,,,1359000.00,10193.00,212000.00,2650.00,0.00,0.00,112,102
FY 2012-13,130,SOUTHBURY (130),87378507.00,681408.00,5547101.00,41603.00,76063267.00,76029267.00,570220.00,34000,425,,,,,375000.00,2813.00,5179838.00,64748.00,213301.00,1600.00,396,237
FY 2012-13,131,SOUTHINGTON (131),149801587.00,1156451.00,13095180.00,98214.00,130854366.00,129594530.00,971959.00,1259836,15748,,,,,277500.00,2081.00,5328081.00,66601.00,246461.00,1848.00,572,475
FY 2012-13,132,SOUTH WINDSOR (132),130941304.00,1204635.00,6157456.00,46181.00,80008848.00,79808848.00,598566.00,200000,2500,,,,,460000.00,3450.00,44315000.00,553938.00,0.00,0.00,353,249
FY 2012-13,133,SPRAGUE (133),2489530.00,18671.00,877480.00,6581.00,1612050.00,1612050.00,12090.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,19,29
FY 2012-13,134,STAFFORD (134),21297791.00,168038.00,1156938.00,8677.00,18430937.00,18430937.00,138232.00,0,0,,,,,49000.00,368.00,1660916.00,20761.00,0.00,0.00,164,173
FY 2012-13,135,STAMFORD (135),749812013.00,6216281.00,8507000.00,63803.00,650397543.00,587234880.00,4404262.00,63162663,789533,,,,,35531887.00,266489.00,55375584.00,692195.00,0.00,0.00,1367,973
FY 2012-13,136,STERLING (136),7994737.00,61440.00,810900.00,6082.00,6887899.00,6887899.00,51659.00,0,0,,,,,0.00,0.00,295938.00,3699.00,0.00,0.00,44,53
FY 2012-13,137,STONINGTON (137),115980755.00,954938.00,7038556.00,52789.00,98228762.00,88542754.00,664071.00,9686008,121075,,,,,3383000.00,25373.00,7330437.00,91630.00,0.00,0.00,324,296
FY 2012-13,138,STRATFORD (138),127752445.00,1011133.00,1310500.00,9829.00,116713595.00,115511095.00,866333.00,1202500,15031,,,,,333000.00,2498.00,9395350.00,117442.00,0.00,0.00,598,479
FY 2012-13,139,SUFFIELD (139),63993585.00,499452.00,2008710.00,15065.00,47909875.00,47009875.00,352574.00,900000,11250,,,,,11075000.00,83063.00,3000000.00,37500.00,0.00,0.00,180,92
FY 2012-13,140,THOMASTON (140),14289325.00,108245.00,184500.00,1384.00,13889825.00,13889825.00,104174.00,0,0,,,,,0.00,0.00,215000.00,2688.00,0.00,0.00,80,89
FY 2012-13,141,THOMPSON (141),15636844.00,119951.00,2169100.00,16268.00,12492836.00,12492836.00,93696.00,0,0,,,,,274500.00,2059.00,535000.00,6688.00,165408.00,1241.00,105,125
FY 2012-13,142,TOLLAND (142),43159872.00,324337.00,1553000.00,11648.00,41410993.00,41283366.00,309625.00,127627,1595,,,,,70000.00,525.00,0.00,0.00,125879.00,944.00,173,129
FY 2012-13,143,TORRINGTON (143),50814380.00,415468.00,2024500.00,15184.00,40778764.00,40778764.00,305841.00,0,0,,,,,1139000.00,8543.00,6872117.00,85901.00,0.00,0.00,387,445
FY 2012-13,144,TRUMBULL (144),163278022.00,1301845.00,2203000.00,16523.00,145352922.00,145238022.00,1089285.00,114900,1436,,,,,385000.00,2888.00,15337100.00,191714.00,0.00,0.00,429,269
FY 2012-13,145,UNION (145),2245300.00,17210.00,70000.00,525.00,2175300.00,2101300.00,15760.00,74000,925,,,,,0.00,0.00,0.00,0.00,0.00,0.00,8,16
FY 2012-13,146,VERNON (146),55001785.00,425225.00,1936540.00,14524.00,49589985.00,49514985.00,371362.00,75000,938,,,,,946000.00,7095.00,2467260.00,30841.00,62000.00,465.00,322,237
FY 2012-13,147,VOLUNTOWN (147),3718500.00,27889.00,150000.00,1125.00,3568500.00,3568500.00,26764.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,18,61
FY 2012-13,148,WALLINGFORD (148),120627291.00,977734.00,1739450.00,13046.00,105024221.00,103304221.00,774782.00,1720000,21500,,,,,788864.00,5916.00,12885825.00,161073.00,188931.00,1417.00,472,422
FY 2012-13,149,WARREN (149),7423200.00,56174.00,1612200.00,12092.00,5811000.00,5711000.00,42833.00,100000,1250,,,,,0.00,0.00,0.00,0.00,0.00,0.00,17,38
FY 2012-13,150,WASHINGTON (150),61273038.00,573439.00,7190643.00,53930.00,53860084.00,31284736.00,234636.00,22575348,282192,,,,,19500.00,146.00,202812.00,2535.00,0.00,0.00,88,110
FY 2012-13,151,WATERBURY (151),135885899.00,1269474.00,3563160.00,26724.00,95684623.00,77011468.00,577586.00,18673155,233414,,,,,5245000.00,39338.00,31392703.00,392409.00,413.00,3.00,902,1136
FY 2012-13,152,WATERFORD (152),94312782.00,908533.00,2512000.00,18840.00,51759224.00,51358287.00,385187.00,400938,5012,,,,,205000.00,1538.00,39836558.00,497957.00,0.00,0.00,271,216
FY 2012-13,153,WATERTOWN (153),51404978.00,408207.00,5313301.00,39850.00,41475827.00,41375827.00,310319.00,100000,1250,,,,,182000.00,1365.00,4433850.00,55423.00,0.00,0.00,251,272
FY 2012-13,154,WESTBROOK (154),37921448.00,299712.00,1735950.00,13020.00,34221146.00,32928646.00,246965.00,1292500,16156,,,,,196650.00,1475.00,1767702.00,22096.00,0.00,0.00,190,217
FY 2012-13,155,WEST HARTFORD (155),429955089.00,3946057.00,7700530.00,57754.00,278978768.00,275997768.00,2069983.00,2981000,37263,,,,,1600000.00,12000.00,141297684.00,1766221.00,378107.00,2836.00,918,575
FY 2012-13,156,WEST HAVEN (156),84215014.00,716020.00,3137000.00,23528.00,57956414.00,57956414.00,434673.00,0,0,,,,,6240100.00,46801.00,16881500.00,211019.00,0.00,0.00,417,493
FY 2012-13,157,WESTON (157),132752299.00,1133494.00,5414193.00,40606.00,126623814.00,99053370.00,742900.00,27570444,344631,,,,,435000.00,3263.00,0.00,0.00,279291.00,2095.00,165,101
FY 2012-13,158,WESTPORT (158),792191662.00,8028281.00,6919000.00,51893.00,671100404.00,367658930.00,2757442.00,303441473,3793018,,,,,245000.00,1838.00,113927258.00,1424091.00,0.00,0.00,547,365
FY 2012-13,159,WETHERSFIELD (159),84767186.00,678841.00,2604150.00,19531.00,73545536.00,73545536.00,551592.00,0,0,,,,,0.00,0.00,8617500.00,107719.00,0.00,0.00,342,282
FY 2012-13,160,WILLINGTON (160),19352462.00,148127.00,1576870.00,11827.00,8752425.00,8752425.00,65643.00,0,0,,,,,8426500.00,63199.00,596667.00,7458.00,0.00,0.00,60,42
FY 2012-13,161,WILTON (161),242632024.00,2149395.00,6526775.00,48951.00,201075249.00,170154382.00,1276158.00,30920867,386511,,,,,20000.00,150.00,35010000.00,437625.00,0.00,0.00,283,141
FY 2012-13,162,WINCHESTER (162),17272751.00,135568.00,2254100.00,16906.00,13114283.00,13114283.00,98357.00,0,0,,,,,575000.00,4313.00,1204425.00,15055.00,124943.00,937.00,99,122
FY 2012-13,163,WINDHAM (163),17677392.00,139580.00,913400.00,6851.00,15249392.00,15249392.00,114370.00,0,0,,,,,114600.00,860.00,1400000.00,17500.00,0.00,0.00,165,214
FY 2012-13,164,WINDSOR (164),117468936.00,1169169.00,9159900.00,68699.00,50383636.00,50383636.00,377877.00,0,0,,,,,140000.00,1050.00,57630400.00,720380.00,155000.00,1163.00,297,284
FY 2012-13,165,WINDSOR LOCKS (165),33082856.00,296126.00,1228900.00,9217.00,22253059.00,22253059.00,166898.00,0,0,,,,,0.00,0.00,9600897.00,120011.00,0.00,0.00,152,166
FY 2012-13,166,WOLCOTT (166),28387279.00,223753.00,1763284.00,13225.00,24454295.00,24454295.00,183407.00,0,0,,,,,0.00,0.00,2169700.00,27121.00,0.00,0.00,133,176
FY 2012-13,167,WOODBRIDGE (167),43231884.00,327969.00,40039.00,300.00,43052925.00,42445925.00,318344.00,607000,7588,,,,,0.00,0.00,138920.00,1737.00,0.00,0.00,109,103
FY 2012-13,168,WOODBURY (168),36065652.00,284070.00,1529500.00,11471.00,33495652.00,31820652.00,238655.00,1675000,20938,,,,,0.00,0.00,1040500.00,13006.00,0.00,0.00,121,136
FY 2012-13,169,WOODSTOCK (169),25539402.00,198148.00,2067500.00,15506.00,22143822.00,22143822.00,166079.00,0,0,,,,,7680.00,58.00,1320400.00,16505.00,0.00,0.00,124,118
FY 2012-13,,TOWN UNKNOWN,34636480.00,310495.00,645800.00,4844.00,32816180.00,23840462.00,178803.00,8975718,112196,,,,,6000.00,45.00,1168500.00,14606.00,0.00,0.00,94,1
FY 2012-13,,ALL MUNICIPALITIES,15701355899.00,138700078.00,500076406.00,3750573.00,12963640399.00,10504796201.00,78785972.00,2458844199,30735552,,,,,498035852.00,3735269.00,1729137578.00,21614220.00,10465663.00,78492.00,40177,35772
FY 2011-12,001,ANDOVER (001),5847756.00,43858.00,396000.00,2970.00,5451756.00,5451756.00,40888.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,25,25
FY 2011-12,002,ANSONIA (002),23291571.00,177624.00,685198.00,5139.00,21803557.00,21803557.00,163527.00,0,0,,,,,0.00,0.00,587424.00,7343.00,215392.00,1615.00,148,174
FY 2011-12,003,ASHFORD (003),11205325.00,90924.00,1465356.00,10990.00,6163150.00,6163150.00,46224.00,0,0,,,,,2200000.00,16500.00,1376818.00,17210.00,0.00,0.00,46,59
FY 2011-12,004,AVON (004),154709111.00,1291330.00,6288743.00,47166.00,136328025.00,119702234.00,897767.00,16625791,207822,,,,,2130000.00,15975.00,9576598.00,119707.00,385745.00,2893.00,315,244
FY 2011-12,005,BARKHAMSTED (005),5497050.00,41228.00,399250.00,2994.00,4747800.00,4747800.00,35609.00,0,0,,,,,350000.00,2625.00,0.00,0.00,0.00,0.00,32,54
FY 2011-12,006,BEACON FALLS (006),32679453.00,248361.00,702000.00,5265.00,8492453.00,8492453.00,63693.00,0,0,,,,,22832000.00,171240.00,653000.00,8163.00,0.00,0.00,61,67
FY 2011-12,007,BERLIN (007),76243614.00,622925.00,2830900.00,21232.00,62411758.00,62411758.00,468088.00,0,0,,,,,570000.00,4275.00,10219500.00,127744.00,211456.00,1586.00,291,265
FY 2011-12,008,BETHANY (008),18950954.00,147432.00,425000.00,3188.00,18265954.00,17465954.00,130995.00,800000,10000,,,,,0.00,0.00,260000.00,3250.00,0.00,0.00,59,79
FY 2011-12,009,BETHEL (009),70862425.00,573411.00,1793358.00,13450.00,61480567.00,60680567.00,455104.00,800000,10000,,,,,0.00,0.00,7588500.00,94856.00,0.00,0.00,199,197
FY 2011-12,010,BETHLEHEM (010),7543373.00,59325.00,498992.00,3742.00,7044382.00,6494382.00,48708.00,550000,6875,,,,,0.00,0.00,0.00,0.00,0.00,0.00,29,61
FY 2011-12,011,BLOOMFIELD (011),76349147.00,738536.00,4342593.00,32569.00,38844219.00,38738055.00,290535.00,106164,1327,,,,,85000.00,638.00,33077335.00,413467.00,0.00,0.00,214,204
FY 2011-12,012,BOLTON (012),15676275.00,119322.00,1594500.00,11959.00,13729775.00,13729775.00,102973.00,0,0,,,,,2000.00,15.00,350000.00,4375.00,0.00,0.00,66,186
FY 2011-12,013,BOZRAH (013),5992492.00,46494.00,732992.00,5497.00,4949500.00,4949500.00,37121.00,0,0,,,,,0.00,0.00,310000.00,3875.00,0.00,0.00,31,35
FY 2011-12,014,BRANFORD (014),93208329.00,743292.00,2018600.00,15140.00,82298974.00,80313911.00,602354.00,1985063,24813,,,,,2029975.00,15225.00,6860780.00,85760.00,0.00,0.00,325,435
FY 2011-12,015,BRIDGEPORT (015),163857266.00,1362527.00,2748953.00,20617.00,110240019.00,109607019.00,821628.00,633000,7913,,,,,24018468.00,180139.00,26171435.00,327143.00,678391.00,5088.00,1107,1109
FY 2011-12,016,BRIDGEWATER (016),13607400.00,115131.00,2201000.00,16508.00,11056400.00,8791400.00,65936.00,2265000,28313,,,,,0.00,0.00,350000.00,4375.00,0.00,0.00,25,23
FY 2011-12,017,BRISTOL (017),96540975.00,760103.00,4758928.00,35692.00,81921800.00,81921800.00,614414.00,0,0,,,,,2642900.00,19822.00,7209164.00,90115.00,8183.00,61.00,557,654
FY 2011-12,018,BROOKFIELD (018),78426414.00,640967.00,9726587.00,72949.00,60095252.00,57590447.00,431928.00,2504805,31310,,,,,0.00,0.00,8049028.00,100613.00,555547.00,4167.00,198,190
FY 2011-12,019,BROOKLYN (019),21710945.00,181056.00,1422220.00,10667.00,17796742.00,16446742.00,123351.00,1350000,16875,,,,,197250.00,1479.00,2294733.00,28684.00,0.00,0.00,85,86
FY 2011-12,020,BURLINGTON (020),36767322.00,277505.00,2423000.00,18173.00,33994322.00,33994322.00,254957.00,0,0,,,,,0.00,0.00,350000.00,4375.00,0.00,0.00,129,100
FY 2011-12,021,CANAAN (021),3380099.00,25860.00,333000.00,2498.00,2970199.00,2945199.00,22089.00,25000,313,,,,,0.00,0.00,76900.00,961.00,0.00,0.00,15,16
FY 2011-12,022,CANTERBURY (022),9040988.00,70282.00,559228.00,4194.00,7936760.00,7936760.00,59526.00,0,0,,,,,50000.00,375.00,495000.00,6188.00,0.00,0.00,62,84
FY 2011-12,023,CANTON (023),42095968.00,324566.00,2951431.00,22136.00,37316337.00,36759157.00,275694.00,557180,6965,,,,,616200.00,4622.00,1212000.00,15150.00,0.00,0.00,133,138
FY 2011-12,024,CHAPLIN (024),2824621.00,21185.00,205241.00,1539.00,2619380.00,2619380.00,19645.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,18,23
FY 2011-12,025,CHESHIRE (025),100810629.00,839162.00,3573843.00,26804.00,81080326.00,80620326.00,604652.00,460000,5750,,,,,0.00,0.00,16156460.00,201956.00,0.00,0.00,286,220
FY 2011-12,026,CHESTER (026),11147200.00,85854.00,1109500.00,8321.00,9587700.00,9587700.00,71908.00,0,0,,,,,0.00,0.00,450000.00,5625.00,0.00,0.00,46,54
FY 2011-12,027,CLINTON (027),52260301.00,430715.00,2030000.00,15225.00,46170151.00,42416651.00,318125.00,3753500,46919,,,,,61200.00,459.00,3998950.00,49987.00,0.00,0.00,188,196
FY 2011-12,028,COLCHESTER (028),41931497.00,335849.00,1198250.00,8987.00,36453186.00,36453186.00,273399.00,0,0,,,,,7500.00,56.00,4272561.00,53407.00,0.00,0.00,180,159
